Timestamp,Tender,Event,Description
"2026-05-07T16:17:14.438191Z","Highway_Construction_Tender_2025-26","tender_closed","Tender closed and signed off by officer. Approved bidders: "
"2026-05-07T16:16:54.199160Z","Highway_Construction_Tender_2025-26","bidder_approved","Bidder 'Bharat_Engineering_Solutions' approved by officer"
"2026-05-07T16:16:32.573718Z","Highway_Construction_Tender_2025-26","bidder_disqualified","Bidder 'Apex_Builders' disqualified by officer. Reason: Not a valid one "
"2026-05-07T16:16:00.316349Z","Highway_Construction_Tender_2025-26","criterion_override","Criterion 'pan-card-valid-legible' for bidder 0c69c7c5-9a34-4f9c-94eb-73787c58ff92 manually set to 'passed' by officer. Reason: Approve"
"2026-05-07T16:14:50.530988Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_completed","Criteria identification completed for job c8da9b4f-d4a4-438b-83c1-9564bb93087a, tender c3f7fa3c-1536-4c35-ad9b-68cbe7c3806f -- 5 criteria groups extracted"
"2026-05-07T16:14:15.012693Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_started","Criteria identification started for job c8da9b4f-d4a4-438b-83c1-9564bb93087a, tender c3f7fa3c-1536-4c35-ad9b-68cbe7c3806f"
"2026-05-07T16:14:14.995963Z","Highway_Construction_Tender_2025-26","tender_criteria_evaluation_requested","Criteria evaluation requested for tender c3f7fa3c-1536-4c35-ad9b-68cbe7c3806f, job c8da9b4f-d4a4-438b-83c1-9564bb93087a created with 2 bidders"
"2026-05-07T16:13:43.451262Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Bharat_Engineering_Solutions' (bid 0c69c7c5-9a34-4f9c-94eb-73787c58ff92) added to tender c3f7fa3c-1536-4c35-ad9b-68cbe7c3806f"
"2026-05-07T16:13:30.540307Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Apex_Builders' (bid 87558eed-72b2-4959-b283-ef3d93873973) added to tender c3f7fa3c-1536-4c35-ad9b-68cbe7c3806f"
"2026-05-07T16:12:55.788251Z","Highway_Construction_Tender_2025-26","tender_created","Tender c3f7fa3c-1536-4c35-ad9b-68cbe7c3806f 'Highway_Construction_Tender_2025-26' created"
"2026-05-07T16:11:02.129351Z","Highway_Construction_Tender_2025-26","tender_closed","Tender closed and signed off by officer. Approved bidders: "
"2026-05-07T16:10:26.859342Z","Highway_Construction_Tender_2025-26","bidder_approved","Bidder 'Bharat_Engineering_Solutions' approved by officer"
"2026-05-07T16:10:09.443508Z","Highway_Construction_Tender_2025-26","bidder_disqualified","Bidder 'Apex_Builders' disqualified by officer. Reason: Not a valid one "
